Experiment,Model,Run,TP,FN,FP,Precision,Recall
ODD-only,DeepSeek-V4-Pro,run_01.md,1,5,0,1.0000,0.1667
ODD-only,DeepSeek-V4-Pro,run_02.md,4,2,1,0.8000,0.6667
ODD-only,DeepSeek-V4-Pro,run_03.md,5,1,1,0.8333,0.8333
ODD-only,DeepSeek-V4-Pro,run_04.md,1,5,0,1.0000,0.1667
ODD-only,DeepSeek-V4-Pro,run_05.md,1,5,0,1.0000,0.1667
ODD-only,DeepSeek-V4-Pro,run_06.md,4,2,1,0.8000,0.6667
ODD-only,DeepSeek-V4-Pro,run_07.md,1,5,0,1.0000,0.1667
ODD-only,DeepSeek-V4-Pro,run_08.md,4,2,2,0.6667,0.6667
ODD-only,DeepSeek-V4-Pro,run_09.md,4,2,2,0.6667,0.6667
ODD-only,DeepSeek-V4-Pro,run_10.md,3,3,0,1.0000,0.5000
ODD-only,DeepSeek-V4-Pro,run_11.md,1,5,0,1.0000,0.1667
ODD-only,DeepSeek-V4-Pro,run_12.md,1,5,0,1.0000,0.1667
ODD-only,DeepSeek-V4-Pro,run_13.md,5,1,3,0.6250,0.8333
ODD-only,DeepSeek-V4-Pro,run_14.md,3,3,0,1.0000,0.5000
ODD-only,DeepSeek-V4-Pro,run_15.md,3,3,0,1.0000,0.5000
ODD-only,DeepSeek-V4-Pro,run_16.md,1,5,0,1.0000,0.1667
ODD-only,DeepSeek-V4-Pro,run_17.md,4,2,3,0.5714,0.6667
ODD-only,DeepSeek-V4-Pro,run_18.md,4,2,1,0.8000,0.6667
ODD-only,DeepSeek-V4-Pro,run_19.md,5,1,0,1.0000,0.8333
ODD-only,DeepSeek-V4-Pro,run_20.md,4,2,3,0.5714,0.6667
ODD-only,DeepSeek-V4-Pro,run_21.md,1,5,1,0.5000,0.1667
ODD-only,DeepSeek-V4-Pro,run_22.md,1,5,0,1.0000,0.1667
ODD-only,DeepSeek-V4-Pro,run_23.md,3,3,2,0.6000,0.5000
ODD-only,DeepSeek-V4-Pro,run_24.md,1,5,0,1.0000,0.1667
ODD-only,DeepSeek-V4-Pro,run_25.md,3,3,0,1.0000,0.5000
ODD-only,DeepSeek-V4-Pro,run_26.md,5,1,1,0.8333,0.8333
ODD-only,DeepSeek-V4-Pro,run_27.md,5,1,2,0.7143,0.8333
ODD-only,DeepSeek-V4-Pro,run_28.md,5,1,1,0.8333,0.8333
ODD-only,DeepSeek-V4-Pro,run_29.md,5,1,1,0.8333,0.8333
ODD-only,DeepSeek-V4-Pro,run_30.md,5,1,0,1.0000,0.8333
ODD-only,Llama-3.3-70B,run_01.md,6,0,0,1.0000,1.0000
ODD-only,Llama-3.3-70B,run_02.md,5,1,1,0.8333,0.8333
ODD-only,Llama-3.3-70B,run_03.md,5,1,1,0.8333,0.8333
ODD-only,Llama-3.3-70B,run_04.md,5,1,1,0.8333,0.8333
ODD-only,Llama-3.3-70B,run_05.md,4,2,2,0.6667,0.6667
ODD-only,Llama-3.3-70B,run_06.md,5,1,1,0.8333,0.8333
ODD-only,Llama-3.3-70B,run_07.md,5,1,1,0.8333,0.8333
ODD-only,Llama-3.3-70B,run_08.md,6,0,0,1.0000,1.0000
ODD-only,Llama-3.3-70B,run_09.md,6,0,0,1.0000,1.0000
ODD-only,Llama-3.3-70B,run_10.md,6,0,0,1.0000,1.0000
ODD-only,Llama-3.3-70B,run_11.md,5,1,1,0.8333,0.8333
ODD-only,Llama-3.3-70B,run_12.md,5,1,1,0.8333,0.8333
ODD-only,Llama-3.3-70B,run_13.md,6,0,0,1.0000,1.0000
ODD-only,Llama-3.3-70B,run_14.md,6,0,0,1.0000,1.0000
ODD-only,Llama-3.3-70B,run_15.md,6,0,0,1.0000,1.0000
ODD-only,Llama-3.3-70B,run_16.md,5,1,1,0.8333,0.8333
ODD-only,Llama-3.3-70B,run_17.md,5,1,1,0.8333,0.8333
ODD-only,Llama-3.3-70B,run_18.md,5,1,1,0.8333,0.8333
ODD-only,Llama-3.3-70B,run_19.md,5,1,1,0.8333,0.8333
ODD-only,Llama-3.3-70B,run_20.md,5,1,1,0.8333,0.8333
ODD-only,Llama-3.3-70B,run_21.md,6,0,0,1.0000,1.0000
ODD-only,Llama-3.3-70B,run_22.md,5,1,1,0.8333,0.8333
ODD-only,Llama-3.3-70B,run_23.md,5,1,1,0.8333,0.8333
ODD-only,Llama-3.3-70B,run_24.md,6,0,0,1.0000,1.0000
ODD-only,Llama-3.3-70B,run_25.md,6,0,0,1.0000,1.0000
ODD-only,Llama-3.3-70B,run_26.md,4,2,2,0.6667,0.6667
ODD-only,Llama-3.3-70B,run_27.md,6,0,0,1.0000,1.0000
ODD-only,Llama-3.3-70B,run_28.md,6,0,0,1.0000,1.0000
ODD-only,Llama-3.3-70B,run_29.md,5,1,1,0.8333,0.8333
ODD-only,Llama-3.3-70B,run_30.md,6,0,0,1.0000,1.0000
ODD-only,Qwen2.5-7B,run_01.md,3,3,3,0.5000,0.5000
ODD-only,Qwen2.5-7B,run_02.md,3,3,3,0.5000,0.5000
ODD-only,Qwen2.5-7B,run_03.md,4,2,1,0.8000,0.6667
ODD-only,Qwen2.5-7B,run_04.md,3,3,3,0.5000,0.5000
ODD-only,Qwen2.5-7B,run_05.md,5,1,1,0.8333,0.8333
ODD-only,Qwen2.5-7B,run_06.md,3,3,3,0.5000,0.5000
ODD-only,Qwen2.5-7B,run_07.md,4,2,2,0.6667,0.6667
