Experiment,Model,Run,TP,FP,FN,Total_AS,Precision,Recall,F1,AS1 capacitor adoption,AS2 social learning,AS3 transformer authorization,AS4 mutual exchange,AS5 authorization/investment,AS6 groundwater extraction
ODD + game_stuff,DeepSeek-R1,run_01.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,DeepSeek-R1,run_02.md,6,0,0,6,1.0000,1.0000,1.0000,1,1,1,1,1,1
ODD + game_stuff,DeepSeek-R1,run_03.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,DeepSeek-R1,run_04.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,DeepSeek-R1,run_05.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,DeepSeek-R1,run_06.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,DeepSeek-R1,run_07.md,0,0,6,0,0.0000,0.0000,0.0000,0,0,0,0,0,0
ODD + game_stuff,DeepSeek-R1,run_08.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,DeepSeek-R1,run_09.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,DeepSeek-R1,run_10.md,0,0,6,0,0.0000,0.0000,0.0000,0,0,0,0,0,0
ODD + game_stuff,DeepSeek-R1,run_11.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,DeepSeek-R1,run_12.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,DeepSeek-R1,run_13.md,6,0,0,6,1.0000,1.0000,1.0000,1,1,1,1,1,1
ODD + game_stuff,DeepSeek-R1,run_14.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,DeepSeek-R1,run_15.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,DeepSeek-R1,run_16.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,DeepSeek-R1,run_17.md,6,3,0,9,0.6667,1.0000,0.8000,1,1,1,1,1,1
ODD + game_stuff,DeepSeek-R1,run_18.md,0,0,6,0,0.0000,0.0000,0.0000,0,0,0,0,0,0
ODD + game_stuff,DeepSeek-R1,run_19.md,6,4,0,10,0.6000,1.0000,0.7500,1,1,1,1,1,1
ODD + game_stuff,DeepSeek-R1,run_20.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,DeepSeek-R1,run_21.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,DeepSeek-R1,run_22.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,DeepSeek-R1,run_23.md,0,0,6,0,0.0000,0.0000,0.0000,0,0,0,0,0,0
ODD + game_stuff,DeepSeek-R1,run_24.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,DeepSeek-R1,run_25.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,DeepSeek-R1,run_26.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,DeepSeek-R1,run_27.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,DeepSeek-R1,run_28.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,DeepSeek-R1,run_29.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,DeepSeek-R1,run_30.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Llama-3.3-70B,run_01.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Llama-3.3-70B,run_02.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Llama-3.3-70B,run_03.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Llama-3.3-70B,run_04.md,0,0,6,0,0.0000,0.0000,0.0000,0,0,0,0,0,0
ODD + game_stuff,Llama-3.3-70B,run_05.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Llama-3.3-70B,run_06.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Llama-3.3-70B,run_07.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Llama-3.3-70B,run_08.md,0,0,6,0,0.0000,0.0000,0.0000,0,0,0,0,0,0
ODD + game_stuff,Llama-3.3-70B,run_09.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Llama-3.3-70B,run_10.md,6,0,0,6,1.0000,1.0000,1.0000,1,1,1,1,1,1
ODD + game_stuff,Llama-3.3-70B,run_11.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Llama-3.3-70B,run_12.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
ODD + game_stuff,Llama-3.3-70B,run_13.md,5,0,1,5,1.0000,0.8333,0.9091,1,0,1,1,1,1
