Case,Condition,Model,Runs,TP,FN,FP,Mean_Precision,Mean_Recall,Precision,Recall
EV-parking,ODD+game,DeepSeek-V4-Pro,30,90,90,156,0.48947333333333337,0.5000066666666666,0.36585365853658536,0.5
EV-parking,ODD-only,DeepSeek-V4-Pro,30,66,114,143,0.4146033333333333,0.36666333333333334,0.3157894736842105,0.36666666666666664
EV-parking,ODD+game,Llama-3.3-70B,30,57,123,31,0.7716666666666666,0.3166833333333333,0.6477272727272727,0.31666666666666665
EV-parking,ODD-only,Llama-3.3-70B,30,39,141,24,0.775,0.21668666666666664,0.6190476190476191,0.21666666666666667
EV-parking,ODD+game,Qwen2.5-7B,30,81,99,101,0.4753966666666667,0.44999666666666666,0.44505494505494503,0.45
EV-parking,ODD-only,Qwen2.5-7B,30,42,138,149,0.23074,0.23333666666666666,0.2198952879581152,0.23333333333333334
Electricity,ODD+game,DeepSeek-R1,30,180,0,4,0.9809466666666666,1.0,0.9782608695652174,1.0
Electricity,ODD-only,DeepSeek-R1,30,164,16,12,0.95428,0.9111133333333333,0.9318181818181818,0.9111111111111111
Electricity,ODD+game,DeepSeek-V4-Pro,30,91,89,10,0.95945,0.5055666666666666,0.900990099009901,0.5055555555555555
Electricity,ODD-only,DeepSeek-V4-Pro,30,64,116,1,0.9944433333333333,0.35557999999999995,0.9846153846153847,0.35555555555555557
Electricity,ODD+game,Llama-3.3-70B,30,166,14,3,0.98222,0.92221,0.9822485207100592,0.9222222222222223
Electricity,ODD-only,Llama-3.3-70B,30,176,4,4,0.9777733333333334,0.9777733333333334,0.9777777777777777,0.9777777777777777
Electricity,ODD+game,Qwen2.5-7B,30,180,0,103,0.65637,1.0,0.6360424028268551,1.0
Electricity,ODD-only,Qwen2.5-7B,30,177,3,52,0.8194466666666667,0.9833333333333333,0.7729257641921398,0.9833333333333333
Water-use,ODD+game,DeepSeek-R1,30,49,11,10,0.8611133333333334,0.8166666666666667,0.8305084745762712,0.8166666666666667
Water-use,ODD-only,DeepSeek-R1,30,46,14,9,0.85,0.7666666666666667,0.8363636363636363,0.7666666666666667
Water-use,ODD+game,DeepSeek-V4-Pro,30,20,40,23,0.39444666666666667,0.3333333333333333,0.46511627906976744,0.3333333333333333
Water-use,ODD-only,DeepSeek-V4-Pro,30,17,43,22,0.39666666666666667,0.2833333333333333,0.4358974358974359,0.2833333333333333
Water-use,ODD+game,Llama-3.3-70B,30,54,6,62,0.4694433333333333,0.9,0.46551724137931033,0.9
Water-use,ODD-only,Llama-3.3-70B,30,55,5,53,0.5205633333333333,0.9166666666666666,0.5092592592592593,0.9166666666666666
Water-use,ODD+game,Qwen2.5-7B,30,39,21,52,0.4811066666666666,0.65,0.42857142857142855,0.65
Water-use,ODD-only,Qwen2.5-7B,30,36,24,58,0.45221666666666666,0.6,0.3829787234042553,0.6
